SYSTEM_ID,NAME,PURPOSE,CLASSIFICATION,STATUS,SOURCE_ROOTS,ENTRYPOINTS,RUNTIME_REACHABILITY,RUNTIME_IDENTITY,AUTHORITY_LEVEL,MUTATION_CAPABILITY,STATE_OWNED,STATE_CONSUMED,PRODUCERS,CONSUMERS,UPSTREAM_DEPENDENCIES,DOWNSTREAM_DEPENDENCIES,NETWORK_BOUNDARY,TRUST_BOUNDARY,INPUTS,OUTPUTS,EVIDENCE_PRODUCED,EVIDENCE_CONSUMED,OBSERVABILITY,FAILURE_MODES,FAIL_CLOSED_BEHAVIOR,RECOVERY_OWNER,TEST_COVERAGE,DYNAMIC_VALIDATION,DOCUMENTATION,KNOWN_LIMITATIONS,HISTORICAL_ORIGIN,CANONICALITY_CONFIDENCE,BUILD_ON_VALUE,NOTES,SUPPORT_TIER,QUALIFICATION_SCOPE,REACHED_BY_SUPPORTED_V1_PATH
SYS-025,ClickHouse value plane,"Store/query identity, policy, budget, and demo analytical projections.",CANONICAL_CONTROL_PLANE,LIVE,platform/deploy/infra/clickhouse; platform/data/clickhouse; queries,bootstrap schema; demo-civ; demo-authority-contrast,clickhouse StatefulSet,Service account plus DB credentials/mTLS policy,"Analytical state authority for its tables, not execution authority",SQL inserts/schema/query,50Gi local PVC and tables,collectors/demo fixtures,platform/deploy/infra/clickhouse; platform/data/clickhouse; queries,"CIV lenses, Grafana, demos",collectors/demo fixtures,"CIV lenses, Grafana, demos",See 13_NETWORK_AND_TRUST_ATLAS.md,"Analytical state authority for its tables, not execution authority",collectors/demo fixtures,"CIV lenses, Grafana, demos",query and demo outputs,"proof/status, logs, runtime state as applicable",query and demo outputs,Outage blocks analytical demos/value queries,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Value-plane producers,SQL/query/demo tests,query and demo outputs,See repository roots and atlas cross-references,Single replica; some demos deliberately synthesize circumstances,Value-plane evolution,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-026,MinIO object store,Provide SPIFFE/mesh-protected object storage reference service.,CANONICAL_CONTROL_PLANE,LIVE,platform/deploy/infra/minio; scripts/verify/verify_minio*,bootstrap MinIO,minio deployment,minio service account and mesh identity,Object storage authority,Object writes via authenticated API,20Gi local PVC,SPIRE/mesh/credentials,platform/deploy/infra/minio; scripts/verify/verify_minio*,clients and proof boundary checks,SPIRE/mesh/credentials,clients and proof boundary checks,See 13_NETWORK_AND_TRUST_ATLAS.md,Object storage authority,SPIRE/mesh/credentials,clients and proof boundary checks,readiness and identity evidence,"proof/status, logs, runtime state as applicable",readiness and identity evidence,Outage blocks object clients; proof scope is bounded,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,MinIO bootstrap,Identity/native guard tests,readiness and identity evidence,See repository roots and atlas cross-references,Single replica/local PVC,Object-store integration,HIGH,MEDIUM,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-027,OpenTelemetry collector,Receive and route OTLP telemetry under mesh policy.,CANONICAL_OBSERVABILITY,LIVE,platform/deploy/infra/observability/collector*,bootstrap observability,threadforge-collector deployment,collector service account/mesh identity,Signal transport only,Receive/export telemetry,In-memory queues/config,OTLP producers,platform/deploy/infra/observability/collector*,Tempo/Prometheus/log consumers,OTLP producers,Tempo/Prometheus/log consumers,See 13_NETWORK_AND_TRUST_ATLAS.md,Signal transport only,OTLP producers,Tempo/Prometheus/log consumers,health and metrics,"proof/status, logs, runtime state as applicable",health and metrics,Outage loses/degrades in-flight telemetry,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Observability bootstrap,Stack/proof tests,health and metrics,See repository roots and atlas cross-references,Single replica; no durable queue shown,Observability convergence,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-028,Prometheus,Scrape/store/query metrics and evaluate alert rules.,CANONICAL_OBSERVABILITY,QUALIFIED_24_OF_24,platform/deploy/infra/observability/base/prometheus.yaml; rules,bootstrap observability,prometheus-0,prometheus service account/mesh policy,Observational only,TSDB writes and queries,10Gi local PVC,metrics endpoints,platform/deploy/infra/observability/base/prometheus.yaml; rules,"Grafana, proof, demos",metrics endpoints,"Grafana, proof, demos",See 13_NETWORK_AND_TRUST_ATLAS.md,Observational only,metrics endpoints,"Grafana, proof, demos",24/24 intended targets up; API/node scrape authentication TLS and stable routing verified,"proof/status, logs, runtime state as applicable",24/24 intended targets up; rules loaded,Control-plane scrape authentication TLS or route drift makes the target DOWN and blocks metrics proof,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Observability config owner,22-check live validation,24/24 intended targets up; exact-SHA qualification PASS,See repository roots and atlas cross-references,Single replica; demo-created proxy targets can change the total runtime scrape count,Observability stack,HIGH,HIGH,DEF-002 closed by authenticated verified HTTPS and exact /metrics RBAC; exact-SHA qualified.,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-029,Loki and Promtail,Collect/store/query Kubernetes and Envoy logs.,CANONICAL_OBSERVABILITY,LIVE,platform/deploy/infra/observability/base/loki.yaml; promtail*,bootstrap observability,loki-0 plus promtail DaemonSet,service accounts and mesh policy,Observational only,Log append/query,10Gi local PVC,pod logs/promtail,platform/deploy/infra/observability/base/loki.yaml; promtail*,"Grafana, proof, demos",pod logs/promtail,"Grafana, proof, demos",See 13_NETWORK_AND_TRUST_ATLAS.md,Observational only,pod logs/promtail,"Grafana, proof, demos",ready; 103 recent series,"proof/status, logs, runtime state as applicable",ready; 103 recent series,Outage removes log evidence; no external retention,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Observability bootstrap,Ingest/query live checks,ready; 103 recent series,See repository roots and atlas cross-references,Single replica/filesystem storage,Observability stack,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-030,Tempo,Receive/store/query traces.,CANONICAL_OBSERVABILITY,LIVE,platform/deploy/infra/observability/base/tempo.yaml,bootstrap observability,tempo-0,tempo service account/mesh identity,Observational only,Trace ingest/query,20Gi local PVC,OTLP producers/collector,platform/deploy/infra/observability/base/tempo.yaml,"Grafana, proof, demos",OTLP producers/collector,"Grafana, proof, demos",See 13_NETWORK_AND_TRUST_ATLAS.md,Observational only,OTLP producers/collector,"Grafana, proof, demos",ready; v2.5.0; spans received,"proof/status, logs, runtime state as applicable",ready; v2.5.0; spans received,Outage blocks trace evidence,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Observability bootstrap,Direct ingest/search proof,ready; v2.5.0; spans received,See repository roots and atlas cross-references,Single replica/local storage,Observability stack,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-031,Grafana,Present provisioned metrics/log/trace and trust-lifecycle views.,CANONICAL_OBSERVABILITY,LIVE,platform/deploy/infra/observability/base/grafana.yaml,bootstrap observability,grafana deployment,Grafana credentials/service account,Read-only visualization authority,Local dashboard/config state,Ephemeral/application config,Prometheus/Loki/Tempo,platform/deploy/infra/observability/base/grafana.yaml,reviewers/operators,Prometheus/Loki/Tempo,reviewers/operators,See 13_NETWORK_AND_TRUST_ATLAS.md,Read-only visualization authority,Prometheus/Loki/Tempo,reviewers/operators,datasource health checks,"proof/status, logs, runtime state as applicable",datasource health checks,Outage does not invalidate raw evidence but harms inspection,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Observability bootstrap,Datasource and dashboard JSON tests,datasource health checks,See repository roots and atlas cross-references,"Panels are evidence aids, not proof authority",Observability stack,HIGH,MEDIUM,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-032,Notifier/closed-loop observer,Observe selected policy/metric state and emit notifications without owning remediation.,CANONICAL_OBSERVABILITY,LIVE,platform/deploy/infra/notifier; scripts/closed_loop,bootstrap notifier,notifier deployment,notifier service account,Observer only,Notification/event writes,Ephemeral process state,Prometheus/Kubernetes signals,platform/deploy/infra/notifier; scripts/closed_loop,operators/proof state,Prometheus/Kubernetes signals,operators/proof state,See 13_NETWORK_AND_TRUST_ATLAS.md,Observer only,Prometheus/Kubernetes signals,operators/proof state,closed-loop status,"proof/status, logs, runtime state as applicable",closed-loop status,"Broken observer yields detection gap, not producer repair",Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Notifier owner,Proof/observer tests,closed-loop status,See repository roots and atlas cross-references,No external paging guarantee established,Closed-loop assurance,MEDIUM,MEDIUM,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-033,Proof orchestrator,Evaluate ordered runtime guarantees without healing producer state.,CANONICAL_ASSURANCE,LIVE_OPERATOR_PATH,scripts/prove_system.sh; scripts/verify; Makefile,make proof,Operator initiated against live cluster,Human/kubeconfig with guarded mutation semantics,Assurance scheduler only,Evidence files; controlled active-negative tests,artifacts/proof/latest,live cluster and source,scripts/prove_system.sh; scripts/verify; Makefile,"qualification, verify-main, reviewers",live cluster and source,"qualification, verify-main, reviewers",See 13_NETWORK_AND_TRUST_ATLAS.md,Assurance scheduler only,live cluster and source,"qualification, verify-main, reviewers",28 guarantee statuses/logs,"proof/status, logs, runtime state as applicable",28 guarantee statuses/logs,Required failure latches FINAL=FAIL; NOT_EVALUATED remains distinct,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,First failing producer,Extensive proof hardening suite,28 guarantee statuses/logs,See repository roots and atlas cross-references,Long/host-coupled; active tests are bounded and explicitly classified; read_only_guarantees remains a deprecated compatibility alias,Current assurance architecture,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-034,Proof integrity/determinism,"Freeze, hash, sign, verify, schema-check, and semantically compare proof artifacts.",CANONICAL_ASSURANCE,CURRENT_ARTIFACT_PASS,scripts/verify/verify_proof_artifacts.sh; validate_proof_integrity.sh; proof determinism,proof finalization; make verify-main,Host artifact path,Cosign/audit keys plus Git HEAD binding,Evidence acceptance authority,Write manifests/signatures/commit.sha,Signed proof set,proof outputs and source SHA,scripts/verify/verify_proof_artifacts.sh; validate_proof_integrity.sh; proof determinism,verify-main/qualification,proof outputs and source SHA,verify-main/qualification,See 13_NETWORK_AND_TRUST_ATLAS.md,Evidence acceptance authority,proof outputs and source SHA,verify-main/qualification,signed=true verified=true 28 PASS,"proof/status, logs, runtime state as applicable",signed=true verified=true 28 PASS,Tamper/source mismatch rejected,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Proof integrity producer,Tamper isolation and determinism tests,signed=true verified=true 28 PASS,See repository roots and atlas cross-references,Whole artifact is not bitwise deterministic; status source/run binding is split across files/runners,Proof freeze hardening,HIGH,VERY_HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-035,Active assurance/outage proofs,"Exercise bounded failures and reconvergence (SPIRE outage, tamper, sessions).",CANONICAL_ASSURANCE,OPERATOR_INITIATED,scripts/verify/prove_spire_outage.sh; hostile_validation.sh; proof break tests,make prove-spire-outage; proof-break-tamper,Operator initiated; isolated/controlled mutation,Human/kubeconfig,Negative-test mutation authority,Scale/delete/tamper isolated state with rollback,Assurance run artifacts,healthy canonical state,scripts/verify/prove_spire_outage.sh; hostile_validation.sh; proof break tests,proof claims and reviewers,healthy canonical state,proof claims and reviewers,See 13_NETWORK_AND_TRUST_ATLAS.md,Negative-test mutation authority,healthy canonical state,proof claims and reviewers,outage/tamper PASS artifacts,"proof/status, logs, runtime state as applicable",outage/tamper PASS artifacts,Rollback failure is explicit; canonical tamper set preserved,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Owning assurance script,Hostile/focused/qualified runs,outage/tamper PASS artifacts,See repository roots and atlas cross-references,Potentially disruptive; never background,Active assurance evolution,HIGH,VERY_HIGH,,SUPPORTED_V1,OPERATOR_TOOLING,True
SYS-036,Registry audit/runtime drift,Reconcile declared signed references with actual runtime image IDs and dynamic demo aliases.,CANONICAL_ASSURANCE,OPERATOR_INITIATED_PASS_ON_QUALIFIED_SHA,scripts/verify/registry_audit.sh; runtime drift helpers,make registry-audit,Host reads cluster/registry,Kubeconfig + registry verification identity,Evidentiary only,Writes audit projections,Registry audit artifacts,"inventory, runtime imageID, signatures",scripts/verify/registry_audit.sh; runtime drift helpers,release closeout,"inventory, runtime imageID, signatures",release closeout,See 13_NETWORK_AND_TRUST_ATLAS.md,Evidentiary only,"inventory, runtime imageID, signatures",release closeout,0 violation qualified runs,"proof/status, logs, runtime state as applicable",0 violation qualified runs,Unknown/source-mismatched alias fails closed,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Registry audit owner,Drift/cache tests,0 violation qualified runs,See repository roots and atlas cross-references,Source annotations bind dynamic agents-lab eligibility,Supply-chain assurance,HIGH,VERY_HIGH,,SUPPORTED_V1,OPERATOR_TOOLING,True
SYS-037,Canonical audit aggregate,"Run repository, identity, runtime, observability, ForgeSec, SBOM and authority checks.",CANONICAL_AUDIT,OPERATOR_INITIATED,scripts/audit/run_full_audit.sh; scripts/make/core.mk,make audit,Host against source/live cluster,Human/kubeconfig,Audit scheduler only,Audit artifacts,artifacts/audit,source and live systems,scripts/audit/run_full_audit.sh; scripts/make/core.mk,reviewer/report,source and live systems,reviewer/report,See 13_NETWORK_AND_TRUST_ATLAS.md,Audit scheduler only,source and live systems,reviewer/report,run manifest/checks/SUMMARY,"proof/status, logs, runtime state as applicable",run manifest/checks/SUMMARY,Required child failure propagates nonzero,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Child producer,audit-check and full audit qualification,run manifest/checks/SUMMARY,See repository roots and atlas cross-references,Separate from proof; locally anchored,Audit consolidation,HIGH,HIGH,,SUPPORTED_V1,OPERATOR_TOOLING,True
SYS-038,ForgeSec enforcement suite,Exercise isolated security boundaries and require concrete denials.,CANONICAL_ASSURANCE,LIVE_OPERATOR_PATH,scripts/verify/verify_forgesec_enforcement.sh; platform/forgesec,make forgesec; demo-security-boundary,Ephemeral isolated namespace,forgesec service accounts,Negative-test authority only,Create probes/fixtures and clean them,artifacts/forgesec,"registry, policies, cluster",scripts/verify/verify_forgesec_enforcement.sh; platform/forgesec,proof/demo/reviewer,"registry, policies, cluster",proof/demo/reviewer,See 13_NETWORK_AND_TRUST_ATLAS.md,Negative-test authority only,"registry, policies, cluster",proof/demo/reviewer,suite logs and denial evidence,"proof/status, logs, runtime state as applicable",suite logs and denial evidence,Unexpected allow or cleanup failure fails suite,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,ForgeSec script/policy owner,Focused liveness/network/signature tests,suite logs and denial evidence,See repository roots and atlas cross-references,Not a general penetration platform,Security-boundary assurance,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-039,Agent containment lab,Demonstrate allowed and denied agent traffic in an isolated namespace.,SUPPORTED_DEMO,LIVE_DEMO_STATE,platform/deploy/labs/agents; scripts/demo,make demo,agents-lab workloads currently live,Distinct service accounts/SPIRE identities,Demo-only workload authority,Deploy fixtures/send traffic,Ephemeral workload/demo rows,mesh/policies/registry,platform/deploy/labs/agents; scripts/demo,reviewer and demo runner,mesh/policies/registry,reviewer and demo runner,See 13_NETWORK_AND_TRUST_ATLAS.md,Demo-only workload authority,mesh/policies/registry,reviewer and demo runner,scenario logs and source SHA,"proof/status, logs, runtime state as applicable",scenario logs and source SHA,Unexpected traffic result fails demo,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Demo scripts,Containment contract tests,scenario logs and source SHA,See repository roots and atlas cross-references,Fixture workloads are not canonical application runtime,Containment surface,HIGH,HIGH,,SUPPORTED_V1,SUPPORTED_DEMO,True
SYS-040,Supported demo aggregate,"Run containment, CIV, authority contrast, and security boundary twice cleanly.",SUPPORTED_DEMO,QUALIFIED_PASS,scripts/demo/run_supported_demos.sh,make demo-all,Operator initiated,Human/kubeconfig,Demo scheduler,Runtime fixture mutation with cleanup,artifacts/demo-runs,four demo systems,scripts/demo/run_supported_demos.sh,reviewer evidence,four demo systems,reviewer evidence,See 13_NETWORK_AND_TRUST_ATLAS.md,Demo scheduler,four demo systems,reviewer evidence,two qualified 4/4 PASS runs,"proof/status, logs, runtime state as applicable",two qualified 4/4 PASS runs,Fail-fast and source mutation detection,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Demo child owner,Demo contract and qualified runs,two qualified 4/4 PASS runs,See repository roots and atlas cross-references,Run IDs are separate from Golden Boot,Reviewer surface hardening,HIGH,VERY_HIGH,,SUPPORTED_V1,SUPPORTED_DEMO,True
SYS-041,CIV analytical lenses,Query ClickHouse identity/budget/attribution data and demonstrate authority contrast.,SUPPORTED_DEMO,OPERATOR_INITIATED,scripts/make/civ.mk; platform/data/clickhouse/queries,make demo-civ; make demo-authority-contrast,"Live ClickHouse, demo initiated",DB credential; no execution identity,Analytical only,Demo table inserts/queries,ClickHouse demo/value rows,ClickHouse schema and fixtures,scripts/make/civ.mk; platform/data/clickhouse/queries,reviewer output,ClickHouse schema and fixtures,reviewer output,See 13_NETWORK_AND_TRUST_ATLAS.md,Analytical only,ClickHouse schema and fixtures,reviewer output,demo logs,"proof/status, logs, runtime state as applicable",demo logs,No actuation path; query failure fails demo,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,CIV demo scripts,CIV demo contract tests,demo logs,See repository roots and atlas cross-references,Distinct from platform/runtime/civ DecisionRecord library,Value-plane CIV surface,HIGH,HIGH,,SUPPORTED_V1,SUPPORTED_DEMO,True
SYS-042,CIV advisory library,"Compute deterministic analytical provenance, counterfactuals, inertia, recommendations, signatures, and dormant intents.",ADVISORY,TEST_TOOL_REACHABLE_NOT_RUNTIME,platform/runtime/civ; scripts/sign_civ_artifacts.py,tests/tools only; no canonical runtime caller,No canonical background/runtime import,Artifact signer identity where invoked,NONE; enforcement_prohibited,Write advisory artifacts only when caller invokes writer,DecisionRecord/artifact files,analytical inputs,platform/runtime/civ; scripts/sign_civ_artifacts.py,tools/tests/external human authority,analytical inputs,tools/tests/external human authority,See 13_NETWORK_AND_TRUST_ATLAS.md,NONE; enforcement_prohibited,analytical inputs,tools/tests/external human authority,focused 165-test set includes CIV,"proof/status, logs, runtime state as applicable",focused 165-test set includes CIV,Dormant intent cannot self-activate; tamper replay rejected,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,External consumer/human,CIV boundary/provenance/signing tests,focused 165-test set includes CIV,See repository roots and atlas cross-references,Current public demo-civ does not execute this library,Ironman simulation evolved into bounded advisory model,HIGH,VERY_HIGH,,ADVISORY,SOURCE_ONLY,False
SYS-043,CI/governance/verify-main,"Check proof source binding, repository policy, and diagnostic remote CI.",CANONICAL_AUDIT,CURRENT_HEAD_DELTA_ONLY,github workflows; scripts/verify/verify_main_integrity.sh; tests/test_verify_main_remote_check_contract.py,make verify-main; pre-push,Local plus GitHub metadata,Git commit and workflow identity,Repository integrity authority; remote checks non-blocking,Local report/artifact writes,CI/check metadata and proof commit.sha,Git/proof/GitHub,github workflows; scripts/verify/verify_main_integrity.sh; tests/test_verify_main_remote_check_contract.py,release closeout,Git/proof/GitHub,release closeout,See 13_NETWORK_AND_TRUST_ATLAS.md,Repository integrity authority; remote checks non-blocking,Git/proof/GitHub,release closeout,remote contract diagnostic and local gates,"proof/status, logs, runtime state as applicable",remote contract diagnostic and local gates,Proof/source mismatch remains blocking; absent remote names diagnostic,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Verifier owner,Focused verify-main/governance tests,remote contract diagnostic and local gates,See repository roots and atlas cross-references,Documentation/evidence descendants may differ from runtime-qualified SHA; executable qualification remains source-bound,Phase 2 governance rule,HIGH,HIGH,,SUPPORTED_V1,OPERATOR_TOOLING,True
SYS-044,Documentation/publication,"State architecture, claims, reviewer routes, and evidence boundaries.",ADVISORY,CURRENT_SOURCE,README.md; docs; whitepaper,docs-verify/publication checks,Repository only,Git authorship,No runtime authority,Tracked documentation writes by maintainers,Authored documents,system evidence,README.md; docs; whitepaper,reviewers,system evidence,reviewers,See 13_NETWORK_AND_TRUST_ATLAS.md,No runtime authority,system evidence,reviewers,docs/static checks,"proof/status, logs, runtime state as applicable",docs/static checks,Stale wording harms credibility but does not mutate runtime,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Document owner,Docs contract tests,docs/static checks,See repository roots and atlas cross-references,Large historical archive increases archaeology cost,Documentation consolidation,MEDIUM,HIGH,,ADVISORY,SOURCE_ONLY,False
SYS-045,Labs/experimental surfaces,"Retain non-release experiments, fixtures, and alternate deployments.",LAB,NOT_CANONICAL,labs; platform/deploy/labs; experiments,explicit lab targets only,Optional,Varies,No release authority,Lab-only mutation,Ephemeral lab state,operator opt-in,labs; platform/deploy/labs; experiments,research/development,operator opt-in,research/development,See 13_NETWORK_AND_TRUST_ATLAS.md,No release authority,operator opt-in,research/development,lab tests where present,"proof/status, logs, runtime state as applicable",lab tests where present,Must not be inferred as supported production,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Lab owner,Selective,lab tests where present,See repository roots and atlas cross-references,Mixed maturity and stale assumptions,Research strata,MEDIUM,MEDIUM,,EXPERIMENTAL,SOURCE_ONLY,False
SYS-046,Proof/test workloads,"Provide echo/client fixtures for identity, ingress, RBAC, and isolation proof.",CANONICAL_ASSURANCE,LIVE,platform/deploy/tests; scripts/verify/ensure_test_workload.sh,proof/bootstrap test workload stage,threadforge-test namespace,test-client and echo SPIFFE/service accounts,Test-only,Create requests and negative probes,Ephemeral fixture state,"mesh, identity, policies",platform/deploy/tests; scripts/verify/ensure_test_workload.sh,proof verifiers,"mesh, identity, policies",proof verifiers,See 13_NETWORK_AND_TRUST_ATLAS.md,Test-only,"mesh, identity, policies",proof verifiers,live proof logs,"proof/status, logs, runtime state as applicable",live proof logs,Unexpected allow/deny fails guarantee,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Proof/bootstrap owner,Proof tests,live proof logs,See repository roots and atlas cross-references,Not application production workload,Proof fixture consolidation,HIGH,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-047,Vector/Qdrant backend stack,Provide vector operations for the secondary API lineage.,COMPATIBILITY,NOT_LIVE_IN_NATIVE_PROFILE,platform/runtime/vector; platform/deploy/services/qdrant; platform/runtime/data_plane,secondary API handlers,No current qdrant workload,Application/backend credentials,Data operation authority if deployed,Vector insert/search/delete,Backend data,OperatorCore,platform/runtime/vector; platform/deploy/services/qdrant; platform/runtime/data_plane,API callers,OperatorCore,API callers,See 13_NETWORK_AND_TRUST_ATLAS.md,Data operation authority if deployed,OperatorCore,API callers,unit/integration tests,"proof/status, logs, runtime state as applicable",unit/integration tests,Unavailable returns operator error,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Secondary runtime owner,Vector enforcement tests,unit/integration tests,See repository roots and atlas cross-references,No supported native deployment closure demonstrated,Original operator/vector platform,MEDIUM,MEDIUM,,COMPATIBILITY,SOURCE_ONLY,False
SYS-048,Identity compiler/controller,Generate or reconcile identity-policy declarations and controller artifacts.,CANONICAL_IDENTITY,SOURCE_AND_OPTIONAL_CONTROLLER,platform/identity; platform/controllers/identity; scripts/make/identity-controller.mk,bootstrap generators; optional identity-controller target,Generated artifacts are live; controller not currently live,Controller/service account when deployed,Identity declaration producer only,Generate manifests/entries,Policy/entry artifacts,canonical source,platform/identity; platform/controllers/identity; scripts/make/identity-controller.mk,SPIRE/Kyverno/bootstrap,canonical source,SPIRE/Kyverno/bootstrap,See 13_NETWORK_AND_TRUST_ATLAS.md,Identity declaration producer only,canonical source,SPIRE/Kyverno/bootstrap,generator tests,"proof/status, logs, runtime state as applicable",generator tests,Stale generated identity blocks proof,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Identity source owner,Identity compiler/controller tests,generator tests,See repository roots and atlas cross-references,Controller path is not required in native live topology,Identity automation,MEDIUM,HIGH,,SUPPORTED_V1,NATIVE_V1_QUALIFIED,True
SYS-049,Advisory observability validators,Retain non-gating diagnostics/chaos paths for the optional API-era topology.,ADVISORY,NOT_RELEASE_GATING,scripts/advisory/observability; platform/deploy/infra/observability/runtime_validation_job.yaml,explicit advisory scripts,Some expect absent threadforge-api,Varies; mesh client after recent repair,Diagnostic only,May mutate controlled runtime when explicitly invoked,Advisory logs,optional API/observability,scripts/advisory/observability; platform/deploy/infra/observability/runtime_validation_job.yaml,operator,optional API/observability,operator,See 13_NETWORK_AND_TRUST_ATLAS.md,Diagnostic only,optional API/observability,operator,advisory output,"proof/status, logs, runtime state as applicable",advisory output,Failures documented non-gating unless called directly,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Advisory script owner,Observability diagnostic tests,advisory output,See repository roots and atlas cross-references,Many assumptions belong to optional API-era topology,Phase 2 observability strata,HIGH,LOW,,ADVISORY,SOURCE_ONLY,False
SYS-050,Ironman/autonomous operator concept,Historical autonomous orchestration and simulation vocabulary retained in code/comments.,HISTORICAL,RETAINED_STRATA,platform/runtime/ai; docs/archive; historical tags,none as autonomous system,No autonomous supported runtime,Historical,NONE in release,No supported autonomous mutation,Historical code/comments,n/a,platform/runtime/ai; docs/archive; historical tags,maintainer archaeology,n/a,maintainer archaeology,See 13_NETWORK_AND_TRUST_ATLAS.md,NONE in release,n/a,maintainer archaeology,Git history,"proof/status, logs, runtime state as applicable",Git history,Risk is conceptual confusion/reactivation,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Maintainer,Historical tests only,Git history,See repository roots and atlas cross-references,Names overstate current authority,2025-2026 autonomous/AI era,HIGH,LOW,,HISTORICAL,HISTORICAL,False
SYS-051,Legacy K3/VM bootstrap,Retain compatibility targets and host assumptions from pre-Kind operation.,COMPATIBILITY,RETAINED_NOT_GOLDEN_BOOT_AUTHORITY,scripts/make/k3*.mk; legacy host sync paths,explicit legacy targets,Not used by golden_boot.sh native route,Legacy kubeconfig/SSH,Compatibility only,May mutate legacy cluster if invoked,Legacy kubeconfig/VM state,operator opt-in,scripts/make/k3*.mk; legacy host sync paths,legacy environment,operator opt-in,legacy environment,See 13_NETWORK_AND_TRUST_ATLAS.md,Compatibility only,operator opt-in,legacy environment,static tests,"proof/status, logs, runtime state as applicable",static tests,Can confuse target discovery,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Legacy owner,Make-surface tests,static tests,See repository roots and atlas cross-references,Stale VM/k3 names remain in includes,K3 era,HIGH,LOW,,COMPATIBILITY,SOURCE_ONLY,False
SYS-052,Archived documentation/artifacts,Preserve historical claims and evidence without current authority.,HISTORICAL,RETAINED,docs/archive; artifacts historical runs,none,No runtime reachability,n/a,NONE,None unless a user explicitly copies/executes,Historical records,past runs,docs/archive; artifacts historical runs,archaeology,past runs,archaeology,See 13_NETWORK_AND_TRUST_ATLAS.md,NONE,past runs,archaeology,Git timestamps/run files,"proof/status, logs, runtime state as applicable",Git timestamps/run files,Stale evidence must not qualify current SHA,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Maintainer,No current validation authority,Git timestamps/run files,See repository roots and atlas cross-references,Large volume creates reviewer noise,All prior eras,HIGH,LOW,,HISTORICAL,HISTORICAL,False
SYS-053,Retired ledger HTTP API,Former header-trusting ledger ingress explicitly retired from current topology.,DEAD,DEAD_CODE_PROVEN,retired references and tests/test_ledger_api_retirement.py,none,No deployment/router/Make caller,n/a,NONE,None,None,n/a,retired references and tests/test_ledger_api_retirement.py,retirement guard,n/a,retirement guard,See 13_NETWORK_AND_TRUST_ATLAS.md,NONE,n/a,retirement guard,retirement tests,"proof/status, logs, runtime state as applicable",retirement tests,Accidental reintroduction should fail structural guard,Fail closed where stated; otherwise degraded/unknown is explicit in failure matrix,Maintainer,Retirement test,retirement tests,See repository roots and atlas cross-references,Historical vulnerability context only,Retired ledger era,HIGH,NONE,,DEAD,NONE,False
